IFMAP SRAM Size,	Filter SRAM Size,	OFMAP SRAM Size,	Conv Layer Num,	DRAM IFMAP Read BW,	DRAM Filter Read BW,	DRAM OFMAP Write BW,	SRAM Read BW,	SRAM OFMAP Write BW, 
524288,	524288,	262144,	Conv1,	0.38507661558960693,	0.19187208527648233,	7.276926493448812,	12.475127692649345,	7.276926493448812,
524288,	524288,	262144,	Conv2,	1.4550031466331026,	0.7249842668344871,	1.288860918816866,	47.124587004405285,	1.288860918816866,
524288,	524288,	262144,	Conv3,	0.7137792158617604,	2.5378816563973703,	1.1279474028432757,	41.241644005369864,	1.1279474028432757,
524288,	524288,	262144,	Conv4,	0.7560157503281318,	2.688056001166691,	0.5973457780370425,	43.68147513489864,	0.5973457780370425,
524288,	524288,	262144,	Conv5,	0.25906735751295334,	5.9689119170984455,	0.3316062176165803,	24.249332091968913,	0.3316062176165803,
524288,	524288,	262144,	Conv6,	0.2820097601815438,	6.587747997840863,	0.18048624651618803,	26.396455049186468,	0.18048624651618803,
524288,	524288,	262144,	Conv7,	0.2820097601815438,	6.587747997840863,	0.18048624651618803,	26.396455049186468,	0.18048624651618803,
524288,	524288,	262144,	Conv8,	0.10247514844219094,	13.11681900060044,	0.09108902083750306,	20.085473791891832,	0.09108902083750306,
524288,	524288,	262144,	Conv9,	0.1453650688496664,	18.6067288127573,	0.0646066972665184,	28.491797977886087,	0.0646066972665184,
524288,	524288,	262144,	Conv10,	0.1453650688496664,	18.6067288127573,	0.0646066972665184,	28.491797977886087,	0.0646066972665184,
524288,	524288,	262144,	Conv11,	0.06483526050446771,	18.6725550252867,	0.016208815126116927,	21.590387096263584,	0.016208815126116927,
524288,	524288,	262144,	Conv12,	0.06483526050446771,	18.6725550252867,	0.016208815126116927,	21.590387096263584,	0.016208815126116927,
524288,	524288,	262144,	Conv13,	0.06483526050446771,	18.6725550252867,	0.016208815126116927,	21.590387096263584,	0.016208815126116927,
524288,	524288,	262144,	FC1,	0.014844882574659322,	7.600579878225573,	0.014844882574659322,	8.076514931864308,	0.014844882574659322,
524288,	524288,	262144,	FC2,	0.014844882574659322,	7.600579878225573,	0.014844882574659322,	8.076514931864308,	0.014844882574659322,
524288,	524288,	262144,	FC3,	0.4951644100580271,	4.951644100580271,	0.009671179883945842,	5.950676982591876,	0.009671179883945842,
