Layer,	Cycles,	% Utilization,
Conv1,	2106,	97.63182205798749,
Conv2,	36896,	99.88709513484211,
Conv3,	18463,	99.7743798407626,
Conv4,	36895,	99.88709513484211,
Conv5,	18463,	99.7743798407626,
Conv6,	36895,	99.88709513484211,
Conv7,	36895,	99.88709513484211,
Conv8,	36895,	49.94354756742106,
Conv9,	73759,	49.97176192057918,
Conv10,	73759,	49.97176192057918,
Conv11,	73759,	12.49234733218997,
Conv12,	73759,	12.49234733218997,
Conv13,	73759,	12.49234733218997,
FC1,	8224,	3.1073285297336737,
FC2,	8224,	3.1073285297336737,
FC3,	522,	0.9512580974088293,
