Layer,	DRAM_IFMAP_start,	DRAM_IFMAP_stop,	DRAM_IFMAP_bytes,	DRAM_Filter_start,	DRAM_Filter_stop,	DRAM_Filter_bytes,	DRAM_OFMAP_start,	DRAM_OFMAP_stop,	DRAM_OFMAP_bytes,	SRAM_read_start,	SRAM_read_stop,	SRAM_read_bytes,	SRAM_write_start,	SRAM_write_stop,	SRAM_write_bytes,
Conv1,	-347.0,	-1.0,	3468,	-173.0,	-1.0,	1728,	2106.0,	8659.0,	65536,	58.0,	2105.0,	65536,	0.0,	1758.0,	112351,	
Conv2,	-7399.0,	-1.0,	73984,	-3687.0,	-1.0,	36864,	36896.0,	43449.0,	65536,	607.0,	36895.0,	65536,	0.0,	36894.0,	2396191,	
Conv3,	-2074.0,	-1.0,	20736,	-7373.0,	-1.0,	73728,	18402.0,	21678.0,	32768,	607.0,	18401.0,	32768,	0.0,	18462.0,	1198111,	
Conv4,	-4148.0,	-1.0,	41472,	-14746.0,	-1.0,	147456,	36834.0,	40110.0,	32768,	1183.0,	36833.0,	32768,	0.0,	36894.0,	2396191,	
Conv5,	-1280.0,	-1.0,	12800,	-29492.0,	-1.0,	294912,	18278.0,	19916.0,	16384,	1183.0,	18277.0,	16384,	0.0,	18462.0,	1198111,	
Conv6,	-2560.0,	-1.0,	25600,	-52429.0,	24575.0,	598016,	36710.0,	38348.0,	16384,	2335.0,	36709.0,	16384,	0.0,	36894.0,	2396191,	
Conv7,	-2560.0,	-1.0,	25600,	-52429.0,	24575.0,	598016,	36710.0,	38348.0,	16384,	2335.0,	36709.0,	16384,	0.0,	36894.0,	2396191,	
Conv8,	-922.0,	-1.0,	9216,	-52429.0,	32782.0,	1179648,	36686.0,	37505.0,	8192,	2335.0,	36685.0,	8192,	0.0,	36894.0,	1806367,	
Conv9,	-1844.0,	-1.0,	18432,	-52429.0,	65550.0,	2359296,	73550.0,	74369.0,	8192,	4639.0,	73549.0,	8192,	0.0,	73758.0,	3612703,	
Conv10,	-1844.0,	-1.0,	18432,	-52429.0,	65550.0,	2359296,	73550.0,	74369.0,	8192,	4639.0,	73549.0,	8192,	0.0,	73758.0,	3612703,	
Conv11,	-820.0,	-1.0,	8192,	-52429.0,	65550.0,	2359296,	73718.0,	73922.0,	2048,	4639.0,	73717.0,	2048,	0.0,	73758.0,	2727967,	
Conv12,	-820.0,	-1.0,	8192,	-52429.0,	65550.0,	2359296,	73718.0,	73922.0,	2048,	4639.0,	73717.0,	2048,	0.0,	73758.0,	2727967,	
Conv13,	-820.0,	-1.0,	8192,	-52429.0,	65550.0,	2359296,	73718.0,	73922.0,	2048,	4639.0,	73717.0,	2048,	0.0,	73758.0,	2727967,	
FC1,	-52.0,	-1.0,	512,	-26215.0,	-1.0,	262144,	8224.0,	8275.0,	512,	543.0,	8223.0,	512,	0.0,	8222.0,	278559,	
FC2,	-52.0,	-1.0,	512,	-26215.0,	-1.0,	262144,	8224.0,	8275.0,	512,	543.0,	8223.0,	512,	0.0,	8222.0,	278559,	
FC3,	-52.0,	-1.0,	512,	-512.0,	-1.0,	5120,	522.0,	522.0,	10,	521.0,	521.0,	10,	0.0,	520.0,	6153,	
