IFMAP SRAM Size,	Filter SRAM Size,	OFMAP SRAM Size,	Conv Layer Num,	DRAM IFMAP Read BW,	DRAM Filter Read BW,	DRAM OFMAP Write BW,	SRAM Read BW,	SRAM OFMAP Write BW, 
262144,	262144,	131072,	DSConv1,	1.1220350635957375,	0.04640770024063252,	5.2801650051564115,	4.76280508765899,	5.2801650051564115,
262144,	262144,	131072,	WA1,	1.5083963468525974,	0.09427477167828734,	6.435824413237749,	6.130904448590789,	6.435824413237749,
262144,	262144,	131072,	DSConv2,	0.11565445397207852,	0.10204804762242223,	11.61080008504004,	6.63422152930338,	11.61080008504004,
262144,	262144,	131072,	WA2,	12.3003003003003,	0.3843843843843844,	1.23003003003003,	24.985566816816817,	1.23003003003003,
262144,	262144,	131072,	DSConv3,	0.07798537774167344,	0.25995125913891143,	7.394169148840148,	4.227006047477209,	7.394169148840148,
262144,	262144,	131072,	WA3,	3.7789463972691206,	1.8894731986345603,	1.5115785589076483,	30.705369499031274,	1.5115785589076483,
262144,	262144,	131072,	DSConv4,	0.040955631399317405,	0.27303754266211605,	7.766401213500189,	4.438329541145241,	7.766401213500189,
262144,	262144,	131072,	WA4,	4.084766891049614,	2.042383445524807,	0.8169533782099228,	33.18950386437297,	0.8169533782099228,
262144,	262144,	131072,	DSConv5,	0.04006009013520281,	0.9614421632448673,	6.836922049741278,	3.9110332164914037,	6.836922049741278,
262144,	262144,	131072,	WA5,	1.4572363739860539,	5.8289454959442155,	0.5828945495944216,	23.68119396613064,	0.5828945495944216,
262144,	262144,	131072,	DSConv6,	0.02009545340366742,	0.9645817633760362,	6.859248095118479,	3.921209076446454,	6.859248095118479,
262144,	262144,	131072,	WA6,	1.7003258681168143,	7.14136864609062,	0.34006517362336286,	27.63093879075946,	0.34006517362336286,
262144,	262144,	131072,	DSConv7,	0.02009545340366742,	0.9645817633760362,	6.859248095118479,	3.921209076446454,	6.859248095118479,
262144,	262144,	131072,	WA7,	1.7003258681168143,	7.14136864609062,	0.34006517362336286,	27.63093879075946,	0.34006517362336286,
262144,	262144,	131072,	DSConv8,	0.018561484918793503,	2.9698375870069604,	5.279711265790152,	4.555555555555555,	5.279711265790152,
262144,	262144,	131072,	WA8,	0.43265168159540307,	13.844853811052898,	0.17306067263816122,	21.200587290856852,	0.17306067263816122,
262144,	262144,	131072,	DSConv9,	0.009327633113097552,	2.9848425961912164,	5.306386837673274,	4.574556289674828,	5.306386837673274,
262144,	262144,	131072,	WA9,	0.6039872596437419,	19.32759230859974,	0.12079745192874838,	29.595832841807244,	0.12079745192874838,
262144,	262144,	131072,	DSConv10,	0.009327633113097552,	2.9848425961912164,	5.306386837673274,	4.574556289674828,	5.306386837673274,
262144,	262144,	131072,	WA10,	0.6039872596437419,	19.32759230859974,	0.12079745192874838,	29.595832841807244,	0.12079745192874838,
262144,	262144,	131072,	DSConv11,	0.006241872561768531,	5.99219765929779,	2.6631989596879064,	6.936540962288687,	2.6631989596879064,
262144,	262144,	131072,	WA11,	0.1519986937612255,	19.455832801436863,	0.0303997387522451,	22.496266828956937,	0.0303997387522451,
262144,	262144,	131072,	DSConv12,	0.006241872561768531,	5.99219765929779,	2.6631989596879064,	6.936540962288687,	2.6631989596879064,
262144,	262144,	131072,	WA12,	0.1519986937612255,	19.455832801436863,	0.0303997387522451,	22.496266828956937,	0.0303997387522451,
262144,	262144,	131072,	DSConv13,	0.006241872561768531,	5.99219765929779,	2.6631989596879064,	6.936540962288687,	2.6631989596879064,
262144,	262144,	131072,	WA13,	0.1519986937612255,	19.455832801436863,	0.0303997387522451,	22.496266828956937,	0.0303997387522451,
262144,	262144,	131072,	FC1,	0.014844882574659322,	7.600579878225573,	0.014844882574659322,	8.076514931864308,	0.014844882574659322,
262144,	262144,	131072,	FC2,	0.014844882574659322,	7.600579878225573,	0.014844882574659322,	8.076514931864308,	0.014844882574659322,
262144,	262144,	131072,	FC3,	0.4951644100580271,	4.951644100580271,	0.009671179883945842,	5.950676982591876,	0.009671179883945842,
