Layer,	DRAM_IFMAP_start,	DRAM_IFMAP_stop,	DRAM_IFMAP_bytes,	DRAM_Filter_start,	DRAM_Filter_stop,	DRAM_Filter_bytes,	DRAM_OFMAP_start,	DRAM_OFMAP_stop,	DRAM_OFMAP_bytes,	SRAM_read_start,	SRAM_read_stop,	SRAM_read_bytes,	SRAM_write_start,	SRAM_write_stop,	SRAM_write_bytes,
DSConv1,	-327.0,	-1.0,	3264,	-14.0,	-1.0,	135,	1047.0,	2582.0,	15360,	23.0,	1046.0,	15360,	0.0,	318.0,	13855,	
WA1,	-1536.0,	-1.0,	15360,	-96.0,	-1.0,	960,	2094.0,	8647.0,	65536,	46.0,	2093.0,	65536,	0.0,	990.0,	62431,	
DSConv2,	-327.0,	-1.0,	3264,	-288.0,	-1.0,	2880,	4136.0,	27895.0,	327680,	40.0,	10279.0,	327680,	0.0,	2910.0,	187231,	
WA2,	-26215.0,	16398.0,	655360,	-2048.0,	-1.0,	20480,	20512.0,	27065.0,	65536,	351.0,	20511.0,	65536,	0.0,	20510.0,	1331231,	
DSConv3,	-87.0,	-1.0,	864,	-288.0,	-1.0,	2880,	2600.0,	10791.0,	81920,	40.0,	2599.0,	81920,	0.0,	750.0,	46831,	
WA3,	-8192.0,	-1.0,	81920,	-4096.0,	-1.0,	40960,	10210.0,	13486.0,	32768,	351.0,	10209.0,	32768,	0.0,	10270.0,	665631,	
DSConv4,	-87.0,	-1.0,	864,	-576.0,	-1.0,	5760,	4136.0,	20520.0,	163840,	40.0,	5159.0,	163840,	0.0,	1470.0,	93631,	
WA4,	-16384.0,	-1.0,	163840,	-8192.0,	-1.0,	81920,	20450.0,	23726.0,	32768,	671.0,	20449.0,	32768,	0.0,	20510.0,	1331231,	
DSConv5,	-24.0,	-1.0,	240,	-576.0,	-1.0,	5760,	1320.0,	5415.0,	40960,	40.0,	1319.0,	40960,	0.0,	390.0,	23431,	
WA5,	-4096.0,	-1.0,	40960,	-16384.0,	-1.0,	163840,	10086.0,	11724.0,	16384,	671.0,	10085.0,	16384,	0.0,	10270.0,	665631,	
DSConv6,	-24.0,	-1.0,	240,	-1152.0,	-1.0,	11520,	2600.0,	10791.0,	81920,	40.0,	2599.0,	81920,	0.0,	750.0,	46831,	
WA6,	-8192.0,	-1.0,	81920,	-26215.0,	13653.0,	344064,	20326.0,	21964.0,	16384,	1311.0,	20325.0,	16384,	0.0,	20510.0,	1331231,	
DSConv7,	-24.0,	-1.0,	240,	-1152.0,	-1.0,	11520,	2600.0,	10791.0,	81920,	40.0,	2599.0,	81920,	0.0,	750.0,	46831,	
WA7,	-8192.0,	-1.0,	81920,	-26215.0,	13653.0,	344064,	20326.0,	21964.0,	16384,	1311.0,	20325.0,	16384,	0.0,	20510.0,	1331231,	
DSConv8,	-8.0,	-1.0,	72,	-1152.0,	-1.0,	11520,	680.0,	2727.0,	20480,	40.0,	679.0,	20480,	0.0,	390.0,	17671,	
WA8,	-2048.0,	-1.0,	20480,	-26215.0,	16398.0,	655360,	20302.0,	21121.0,	8192,	1311.0,	20301.0,	8192,	0.0,	20510.0,	1003551,	
DSConv9,	-8.0,	-1.0,	72,	-2304.0,	-1.0,	23040,	1320.0,	5415.0,	40960,	40.0,	1319.0,	40960,	0.0,	750.0,	35311,	
WA9,	-4096.0,	-1.0,	40960,	-26215.0,	32782.0,	1310720,	40782.0,	41601.0,	8192,	2591.0,	40781.0,	8192,	0.0,	40990.0,	2007071,	
DSConv10,	-8.0,	-1.0,	72,	-2304.0,	-1.0,	23040,	1320.0,	5415.0,	40960,	40.0,	1319.0,	40960,	0.0,	750.0,	35311,	
WA10,	-4096.0,	-1.0,	40960,	-26215.0,	32782.0,	1310720,	40782.0,	41601.0,	8192,	2591.0,	40781.0,	8192,	0.0,	40990.0,	2007071,	
DSConv11,	-3.0,	-1.0,	24,	-2304.0,	-1.0,	23040,	518.0,	1541.0,	10240,	40.0,	517.0,	10240,	0.0,	750.0,	26671,	
WA11,	-1024.0,	-1.0,	10240,	-26215.0,	32782.0,	1310720,	40950.0,	41154.0,	2048,	2591.0,	40949.0,	2048,	0.0,	40990.0,	1515551,	
DSConv12,	-3.0,	-1.0,	24,	-2304.0,	-1.0,	23040,	518.0,	1541.0,	10240,	40.0,	517.0,	10240,	0.0,	750.0,	26671,	
WA12,	-1024.0,	-1.0,	10240,	-26215.0,	32782.0,	1310720,	40950.0,	41154.0,	2048,	2591.0,	40949.0,	2048,	0.0,	40990.0,	1515551,	
DSConv13,	-3.0,	-1.0,	24,	-2304.0,	-1.0,	23040,	518.0,	1541.0,	10240,	40.0,	517.0,	10240,	0.0,	750.0,	26671,	
WA13,	-1024.0,	-1.0,	10240,	-26215.0,	32782.0,	1310720,	40950.0,	41154.0,	2048,	2591.0,	40949.0,	2048,	0.0,	40990.0,	1515551,	
FC1,	-52.0,	-1.0,	512,	-26215.0,	-1.0,	262144,	8224.0,	8275.0,	512,	543.0,	8223.0,	512,	0.0,	8222.0,	278559,	
FC2,	-52.0,	-1.0,	512,	-26215.0,	-1.0,	262144,	8224.0,	8275.0,	512,	543.0,	8223.0,	512,	0.0,	8222.0,	278559,	
FC3,	-52.0,	-1.0,	512,	-512.0,	-1.0,	5120,	522.0,	522.0,	10,	521.0,	521.0,	10,	0.0,	520.0,	6153,	
