Layer,	DRAM_IFMAP_start,	DRAM_IFMAP_stop,	DRAM_IFMAP_bytes,	DRAM_Filter_start,	DRAM_Filter_stop,	DRAM_Filter_bytes,	DRAM_OFMAP_start,	DRAM_OFMAP_stop,	DRAM_OFMAP_bytes,	SRAM_read_start,	SRAM_read_stop,	SRAM_read_bytes,	SRAM_write_start,	SRAM_write_stop,	SRAM_write_bytes,
DSConv1,	-327.0,	-1.0,	3264,	-14.0,	-1.0,	135,	1047.0,	2582.0,	15360,	23.0,	1046.0,	15360,	0.0,	318.0,	13855,	
WA1,	-1536.0,	-1.0,	15360,	-83.0,	-1.0,	825,	2094.0,	7725.0,	56320,	46.0,	2093.0,	56320,	0.0,	990.0,	58111,	
DSConv2,	-327.0,	-1.0,	3264,	-248.0,	-1.0,	2475,	8232.0,	36393.0,	281600,	40.0,	9255.0,	281600,	0.0,	2622.0,	164767,	
WA2,	-28160.0,	-1.0,	281600,	-1760.0,	-1.0,	17600,	17632.0,	24185.0,	65536,	306.0,	17631.0,	65536,	0.0,	17630.0,	1144031,	
DSConv3,	-87.0,	-1.0,	864,	-288.0,	-1.0,	2880,	2600.0,	10791.0,	81920,	40.0,	2599.0,	81920,	0.0,	750.0,	46831,	
WA3,	-8192.0,	-1.0,	81920,	-4096.0,	-1.0,	40960,	10210.0,	13486.0,	32768,	351.0,	10209.0,	32768,	0.0,	10270.0,	665631,	
DSConv4,	-87.0,	-1.0,	864,	-576.0,	-1.0,	5760,	5160.0,	21543.0,	163840,	40.0,	5159.0,	163840,	0.0,	1470.0,	93631,	
WA4,	-16384.0,	-1.0,	163840,	-8192.0,	-1.0,	81920,	20450.0,	23726.0,	32768,	671.0,	20449.0,	32768,	0.0,	20510.0,	1331231,	
DSConv5,	-24.0,	-1.0,	240,	-576.0,	-1.0,	5760,	1320.0,	5415.0,	40960,	40.0,	1319.0,	40960,	0.0,	390.0,	23431,	
WA5,	-4096.0,	-1.0,	40960,	-16384.0,	-1.0,	163840,	10086.0,	11724.0,	16384,	671.0,	10085.0,	16384,	0.0,	10270.0,	665631,	
DSConv6,	-24.0,	-1.0,	240,	-1152.0,	-1.0,	11520,	2600.0,	10791.0,	81920,	40.0,	2599.0,	81920,	0.0,	750.0,	46831,	
WA6,	-8192.0,	-1.0,	81920,	-32768.0,	-1.0,	327680,	20326.0,	21964.0,	16384,	1311.0,	20325.0,	16384,	0.0,	20510.0,	1331231,	
DSConv7,	-24.0,	-1.0,	240,	-1152.0,	-1.0,	11520,	2600.0,	10791.0,	81920,	40.0,	2599.0,	81920,	0.0,	750.0,	46831,	
WA7,	-8192.0,	-1.0,	81920,	-30336.0,	-1.0,	303360,	20307.0,	21823.0,	15168,	1311.0,	20306.0,	15168,	0.0,	20510.0,	1282591,	
DSConv8,	-8.0,	-1.0,	72,	-1067.0,	-1.0,	10665,	648.0,	2543.0,	18960,	40.0,	647.0,	18960,	0.0,	363.0,	16501,	
WA8,	-1896.0,	-1.0,	18960,	-18723.0,	-1.0,	187230,	5910.0,	6162.0,	2528,	1216.0,	5909.0,	2528,	0.0,	5953.0,	287984,	
DSConv9,	-8.0,	-1.0,	72,	-711.0,	-1.0,	7110,	440.0,	1703.0,	12640,	40.0,	439.0,	12640,	0.0,	246.0,	10957,	
WA9,	-1264.0,	-1.0,	12640,	-4898.0,	-1.0,	48980,	1610.0,	1709.0,	992,	821.0,	1609.0,	992,	0.0,	1608.0,	75869,	
DSConv10,	-8.0,	-1.0,	72,	-279.0,	-1.0,	2790,	200.0,	695.0,	4960,	40.0,	199.0,	4960,	0.0,	111.0,	4342,	
WA10,	-496.0,	-1.0,	4960,	-1488.0,	-1.0,	14880,	636.0,	712.0,	768,	341.0,	635.0,	768,	0.0,	634.0,	25435,	
DSConv11,	-3.0,	-1.0,	24,	-216.0,	-1.0,	2160,	84.0,	179.0,	960,	40.0,	83.0,	960,	0.0,	93.0,	2542,	
WA11,	-96.0,	-1.0,	960,	-864.0,	-1.0,	8640,	484.0,	498.0,	144,	271.0,	483.0,	144,	0.0,	482.0,	11043,	
DSConv12,	-3.0,	-1.0,	24,	-162.0,	-1.0,	1620,	72.0,	143.0,	720,	40.0,	71.0,	720,	0.0,	75.0,	1912,	
WA12,	-72.0,	-1.0,	720,	-468.0,	-1.0,	4680,	209.0,	219.0,	104,	205.0,	208.0,	104,	0.0,	204.0,	5605,	
DSConv13,	-3.0,	-1.0,	24,	-117.0,	-1.0,	1170,	66.0,	117.0,	520,	40.0,	65.0,	520,	0.0,	66.0,	1417,	
WA13,	-52.0,	-1.0,	520,	-6318.0,	-1.0,	63180,	2044.0,	2238.0,	1944,	161.0,	2043.0,	1944,	0.0,	2084.0,	73585,	
FC1,	-49.0,	-1.0,	486,	-24884.0,	-1.0,	248832,	7808.0,	7859.0,	512,	517.0,	7807.0,	512,	0.0,	7806.0,	264415,	
FC2,	-52.0,	-1.0,	512,	-26215.0,	-1.0,	262144,	8224.0,	8275.0,	512,	543.0,	8223.0,	512,	0.0,	8222.0,	278559,	
FC3,	-52.0,	-1.0,	512,	-512.0,	-1.0,	5120,	522.0,	522.0,	10,	521.0,	521.0,	10,	0.0,	520.0,	6153,	
