IFMAP SRAM Size,	Filter SRAM Size,	OFMAP SRAM Size,	Conv Layer Num,	DRAM IFMAP Read BW,	DRAM Filter Read BW,	DRAM OFMAP Write BW,	SRAM Read BW,	SRAM OFMAP Write BW, 
524288,	524288,	262144,	DSConv1,	1.1220350635957375,	0.04640770024063252,	5.2801650051564115,	4.76280508765899,	5.2801650051564115,
524288,	524288,	262144,	WA1,	8.71242200794101,	0.11117413499716393,	0.0005672149744753262,	117.52921157118548,	0.0,
524288,	524288,	262144,	DSConv2,	0.08888888888888889,	0.06740196078431372,	7.668845315904139,	4.487118736383442,	7.668845315904139,
524288,	524288,	262144,	WA2,	9.134840455949067,	0.08531889748770538,	3.8122831763943425e-05,	90.18329457512104,	0.0,
524288,	524288,	262144,	DSConv3,	0.07798537774167344,	0.25995125913891143,	7.394169148840148,	4.227006047477209,	7.394169148840148,
524288,	524288,	262144,	WA3,	5.7305128948130974,	0.4246595189800058,	7.24427702115329e-05,	122.72891915386845,	0.0,
524288,	524288,	262144,	DSConv4,	0.039061440390614405,	0.260409602604096,	7.407206474072065,	4.233057552330576,	7.407206474072065,
524288,	524288,	262144,	WA4,	5.720721039770514,	0.4268158798739243,	3.541452703899139e-05,	123.35092254842937,	0.0,
524288,	524288,	262144,	DSConv5,	0.04006009013520281,	0.9614421632448673,	6.836922049741278,	3.9110332164914037,	6.836922049741278,
524288,	524288,	262144,	WA5,	1.5005861664712778,	0.8488056858147714,	3.663540445486518e-05,	82.33532385697538,	0.0,
524288,	524288,	262144,	DSConv6,	0.02009545340366742,	0.9645817633760362,	6.859248095118479,	3.921209076446454,	6.859248095118479,
524288,	524288,	262144,	WA6,	1.7910261829021423,	0.8201899761973617,	2.2245456365537338e-05,	79.55913954574778,	0.0,
524288,	524288,	262144,	DSConv7,	0.02009545340366742,	0.9645817633760362,	6.859248095118479,	3.921209076446454,	6.859248095118479,
524288,	524288,	262144,	WA7,	2.177717636445647,	0.7813486693730266,	2.819124943617501e-05,	75.79172304916554,	0.0,
524288,	524288,	262144,	DSConv8,	0.019944598337950138,	2.9542936288088644,	5.252077562326869,	4.570914127423823,	5.252077562326869,
524288,	524288,	262144,	WA8,	0.9626900046061723,	0.9019461077844312,	5.757715338553662e-05,	29.766064025794563,	0.0,
524288,	524288,	262144,	DSConv9,	0.029826014913007456,	2.945318972659486,	5.236122618061309,	4.53893951946976,	5.236122618061309,
524288,	524288,	262144,	WA9,	1.5325784295526268,	0.8409133098199368,	0.00018563207722294413,	27.75607945052905,	0.0,
524288,	524288,	262144,	DSConv10,	0.07392197125256673,	2.864476386036961,	5.092402464065708,	4.457905544147844,	5.092402464065708,
524288,	524288,	262144,	WA10,	1.1865403462920614,	0.8709572035282588,	0.0003266906239790918,	28.75204181639987,	0.0,
524288,	524288,	262144,	DSConv11,	0.060759493670886074,	5.468354430379747,	2.430379746835443,	6.435443037974683,	2.430379746835443,
524288,	524288,	262144,	WA11,	0.516914749661705,	0.8897158322056834,	0.0006765899864682003,	8.029093369418133,	0.0,
524288,	524288,	262144,	DSConv12,	0.07868852459016394,	5.311475409836065,	2.360655737704918,	6.268852459016394,	2.360655737704918,
524288,	524288,	262144,	WA12,	0.5599194360523666,	0.8801611278952669,	0.0010070493454179255,	7.953675730110775,	0.0,
524288,	524288,	262144,	DSConv13,	0.10256410256410256,	5.0,	2.2222222222222223,	6.055555555555555,	2.2222222222222223,
524288,	524288,	262144,	WA13,	0.1379795846532911,	0.8989792326645547,	0.00035198873636043646,	8.102076733544527,	0.0,
524288,	524288,	262144,	FC1,	0.014842867177717375,	7.599547994991296,	0.015636930030846288,	8.075466511926214,	0.015636930030846288,
524288,	524288,	262144,	FC2,	0.014844882574659322,	7.600579878225573,	0.014844882574659322,	8.076514931864308,	0.014844882574659322,
524288,	524288,	262144,	FC3,	0.4951644100580271,	4.951644100580271,	0.009671179883945842,	5.950676982591876,	0.009671179883945842,
