Layer,	Cycles,	% Utilization,
DSConv1,	1047,	40.7278605015674,
WA1,	1070,	91.84809197651663,
DSConv2,	5160,	88.29877634262407,
WA2,	6366,	98.65754914598776,
DSConv3,	2600,	90.56258322237018,
WA3,	4973,	97.51898451459202,
DSConv4,	3880,	91.66221309630963,
WA4,	9780,	98.19121797655232,
DSConv5,	1320,	88.23354579603581,
WA5,	5270,	84.85227272727272,
DSConv6,	1704,	90.60484249749499,
WA6,	4318,	95.57319341126461,
DSConv7,	1256,	86.64151516420911,
WA7,	2322,	87.71202064896755,
DSConv8,	296,	38.538656069364166,
WA8,	596,	41.5332825203252,
DSConv9,	152,	30.72610294117647,
WA9,	159,	35.43487762237762,
DSConv10,	88,	15.850207270408163,
WA10,	110,	27.842420212765955,
DSConv11,	60,	4.690867456896552,
WA11,	106,	6.966145833333333,
DSConv12,	54,	2.92171556122449,
WA12,	65,	3.2482710040983602,
DSConv13,	48,	1.9091796875,
WA13,	172,	1.3090093085106382,
FC1,	1280,	3.0113858483189992,
FC2,	8224,	3.1073285297336737,
FC3,	522,	0.9512580974088293,
