IFMAP SRAM Size,	Filter SRAM Size,	OFMAP SRAM Size,	Conv Layer Num,	Max DRAM IFMAP Read BW,	Max DRAM Filter Read BW,	Max DRAM OFMAP Write BW,	Max SRAM Read BW,	Max SRAM OFMAP Write BW,
262144,	262144,	131072,	DSConv1,	10,	10,	10,	37,	15,
262144,	262144,	131072,	WA1,	10,	10,	10,	64,	32,
262144,	262144,	131072,	DSConv2,	10,	10,	10,	37,	32,
262144,	262144,	131072,	WA2,	10,	10,	10,	64,	32,
262144,	262144,	131072,	WA2,	10,	10,	10,	64,	32,10,	10,	10,	64,	32,
262144,	262144,	131072,	DSConv3,	10,	10,	10,	37,	32,
262144,	262144,	131072,	WA3,	10,	10,	10,	64,	32,
262144,	262144,	131072,	WA3,	10,	10,	10,	64,	32,10,	10,	10,	64,	32,
262144,	262144,	131072,	WA3,	10,	10,	10,	64,	32,10,	10,	10,	64,	32,10,	10,	10,	64,	32,
262144,	262144,	131072,	DSConv4,	10,	10,	10,	37,	32,
262144,	262144,	131072,	WA4,	10,	10,	10,	64,	32,
262144,	262144,	131072,	WA4,	10,	10,	10,	64,	32,10,	10,	10,	64,	32,
262144,	262144,	131072,	WA4,	10,	10,	10,	64,	32,10,	10,	10,	64,	32,10,	10,	10,	64,	32,
262144,	262144,	131072,	WA4,	10,	10,	10,	64,	32,10,	10,	10,	64,	32,10,	10,	10,	64,	32,10,	10,	10,	64,	32,
262144,	262144,	131072,	DSConv5,	10,	10,	10,	37,	32,
262144,	262144,	131072,	WA5,	10,	10,	10,	64,	32,
262144,	262144,	131072,	WA5,	10,	10,	10,	64,	32,10,	10,	10,	64,	32,
262144,	262144,	131072,	WA5,	10,	10,	10,	64,	32,10,	10,	10,	64,	32,10,	10,	10,	64,	32,
262144,	262144,	131072,	WA5,	10,	10,	10,	64,	32,10,	10,	10,	64,	32,10,	10,	10,	64,	32,10,	10,	10,	64,	32,
262144,	262144,	131072,	WA5,	10,	10,	10,	64,	32,10,	10,	10,	64,	32,10,	10,	10,	64,	32,10,	10,	10,	64,	32,10,	10,	10,	64,	32,
262144,	262144,	131072,	WA5,	10,	10,	10,	64,	32,10,	10,	10,	64,	32,10,	10,	10,	64,	32,10,	10,	10,	64,	32,10,	10,	10,	64,	32,10,	10,	10,	64,	32,
262144,	262144,	131072,	DSConv6,	10,	10,	10,	37,	32,
262144,	262144,	131072,	WA6,	10,	10,	10,	64,	32,
262144,	262144,	131072,	WA6,	10,	10,	10,	64,	32,10,	10,	10,	64,	32,
262144,	262144,	131072,	WA6,	10,	10,	10,	64,	32,10,	10,	10,	64,	32,10,	10,	10,	64,	32,
262144,	262144,	131072,	WA6,	10,	10,	10,	64,	32,10,	10,	10,	64,	32,10,	10,	10,	64,	32,10,	10,	10,	64,	32,
262144,	262144,	131072,	DSConv7,	10,	10,	10,	37,	32,
262144,	262144,	131072,	WA7,	10,	10,	10,	64,	32,
262144,	262144,	131072,	WA7,	10,	10,	10,	64,	32,10,	10,	10,	64,	32,
262144,	262144,	131072,	WA7,	10,	10,	10,	64,	32,10,	10,	10,	64,	32,10,	10,	10,	64,	32,
262144,	262144,	131072,	WA7,	10,	10,	10,	64,	32,10,	10,	10,	64,	32,10,	10,	10,	64,	32,10,	10,	10,	64,	32,
262144,	262144,	131072,	DSConv8,	9,	10,	10,	37,	32,
262144,	262144,	131072,	WA8,	10,	10,	10,	64,	32,
262144,	262144,	131072,	WA8,	10,	10,	10,	64,	32,10,	10,	10,	64,	32,
262144,	262144,	131072,	DSConv9,	9,	10,	10,	37,	32,
262144,	262144,	131072,	WA9,	10,	10,	10,	64,	32,
262144,	262144,	131072,	DSConv10,	9,	10,	10,	37,	32,
262144,	262144,	131072,	WA10,	10,	10,	10,	64,	32,
262144,	262144,	131072,	DSConv11,	8,	10,	10,	37,	32,
262144,	262144,	131072,	WA11,	10,	10,	10,	64,	32,
262144,	262144,	131072,	DSConv12,	8,	10,	10,	37,	32,
262144,	262144,	131072,	WA12,	10,	10,	10,	64,	32,
262144,	262144,	131072,	DSConv13,	8,	10,	10,	37,	32,
262144,	262144,	131072,	WA13,	10,	10,	10,	64,	32,
262144,	262144,	131072,	WA13,	10,	10,	10,	64,	32,10,	10,	10,	64,	32,
262144,	262144,	131072,	WA13,	10,	10,	10,	64,	32,10,	10,	10,	64,	32,10,	10,	10,	64,	32,
262144,	262144,	131072,	FC1,	10,	10,	10,	64,	32,
262144,	262144,	131072,	FC2,	10,	10,	10,	64,	32,
262144,	262144,	131072,	FC3,	10,	10,	10,	64,	10,
