IFMAP SRAM Size,	Filter SRAM Size,	OFMAP SRAM Size,	Conv Layer Num,	DRAM IFMAP Read BW,	DRAM Filter Read BW,	DRAM OFMAP Write BW,	SRAM Read BW,	SRAM OFMAP Write BW, 
524288,	524288,	262144,	Conv1,	0.7890784982935154,	0.1781569965870307,	6.756769055745165,	12.195449374288964,	6.756769055745165,
524288,	524288,	262144,	Conv2,	1.2681672025723472,	0.6121429922451296,	2.401664459996217,	40.442103272177036,	2.401664459996217,
524288,	524288,	262144,	Conv3,	0.7671567691426389,	2.1949207561581057,	1.00698873400802,	40.06381516135192,	1.00698873400802,
524288,	524288,	262144,	Conv4,	0.7472960566092662,	2.6362944219271336,	0.7280381575117003,	43.01173388270596,	0.7280381575117003,
524288,	524288,	262144,	Conv5,	0.3204642947262175,	5.681831945495836,	0.31814282109513,	24.689351501387836,	0.31814282109513,
524288,	524288,	262144,	Conv6,	0.4411106135244066,	5.8358934169279,	0.21065830721003134,	24.77346618898343,	0.21065830721003134,
524288,	524288,	262144,	Conv7,	0.5378704720087816,	5.857409440175632,	0.2833516282473472,	24.495755579948774,	0.2833516282473472,
524288,	524288,	262144,	Conv8,	0.5809549213123499,	6.971459055748199,	0.10242731395038678,	11.911576420378768,	0.10242731395038678,
524288,	524288,	262144,	Conv9,	1.2687224669603525,	6.343612334801762,	0.23494860499265785,	11.7496328928047,	0.23494860499265785,
524288,	524288,	262144,	Conv10,	0.9863013698630136,	6.410958904109589,	0.5698630136986301,	10.636986301369863,	0.5698630136986301,
524288,	524288,	262144,	Conv11,	0.7123287671232876,	5.609589041095891,	0.0958904109589041,	7.635273972602739,	0.0958904109589041,
524288,	524288,	262144,	Conv12,	0.7915194346289752,	4.897526501766785,	0.15547703180212014,	7.159010600706714,	0.15547703180212014,
524288,	524288,	262144,	Conv13,	0.11289288005131494,	7.112251443232841,	0.2873636946760744,	8.391917896087236,	0.2873636946760744,
524288,	524288,	262144,	FC1,	0.014717477003942181,	7.535348226018397,	0.06727989487516425,	8.010381077529566,	0.06727989487516425,
524288,	524288,	262144,	FC2,	0.014844882574659322,	7.600579878225573,	0.014844882574659322,	8.076514931864308,	0.014844882574659322,
524288,	524288,	262144,	FC3,	0.4951644100580271,	4.951644100580271,	0.009671179883945842,	5.950676982591876,	0.009671179883945842,
