Layer,	Cycles,	% Utilization,
Conv1,	1079,	86.44814944134079,
Conv2,	16735,	96.6374796926352,
Conv3,	17887,	80.29919599429753,
Conv4,	29695,	99.08091640006735,
Conv5,	16033,	87.74302902607123,
Conv6,	17761,	91.67837449327178,
Conv7,	10615,	94.18106747527084,
Conv8,	2194,	37.18294003647971,
Conv9,	467,	29.50041574279379,
Conv10,	221,	34.03201219512195,
Conv11,	251,	5.062310222672065,
Conv12,	140,	3.8559857536764706,
Conv13,	411,	10.44232816301703,
FC1,	1824,	3.045289358200768,
FC2,	8224,	3.1073285297336737,
FC3,	522,	0.9512580974088293,
