Layer,	DRAM_IFMAP_start,	DRAM_IFMAP_stop,	DRAM_IFMAP_bytes,	DRAM_Filter_start,	DRAM_Filter_stop,	DRAM_Filter_bytes,	DRAM_OFMAP_start,	DRAM_OFMAP_stop,	DRAM_OFMAP_bytes,	SRAM_read_start,	SRAM_read_stop,	SRAM_read_bytes,	SRAM_write_start,	SRAM_write_stop,	SRAM_write_bytes,
Conv1,	-347.0,	-1.0,	3468,	-79.0,	-1.0,	783,	1079.0,	4048.0,	29696,	55.0,	1078.0,	29696,	0.0,	894.0,	53599,	
Conv2,	-3353.0,	-1.0,	33524,	-1619.0,	-1.0,	16182,	16734.0,	23082.0,	63488,	292.0,	16733.0,	63488,	0.0,	16734.0,	1069087,	
Conv3,	-2009.0,	-1.0,	20088,	-5748.0,	-1.0,	57474,	17801.0,	20437.0,	26368,	589.0,	17800.0,	26368,	0.0,	17886.0,	1049071,	
Conv4,	-3338.0,	-1.0,	33372,	-11773.0,	-1.0,	117729,	29633.0,	32884.0,	32512,	958.0,	29632.0,	32512,	0.0,	29694.0,	1920775,	
Conv5,	-1270.0,	-1.0,	12700,	-22518.0,	-1.0,	225171,	15852.0,	17112.0,	12608,	1174.0,	15851.0,	12608,	0.0,	16032.0,	978439,	
Conv6,	-1970.0,	-1.0,	19700,	-26064.0,	-1.0,	260631,	17656.0,	18596.0,	9408,	1804.0,	17655.0,	9408,	0.0,	17760.0,	1106383,	
Conv7,	-1470.0,	-1.0,	14700,	-16009.0,	-1.0,	160083,	10547.0,	11321.0,	7744,	1354.0,	10546.0,	7744,	0.0,	10614.0,	669469,	
Conv8,	-436.0,	-1.0,	4356,	-5228.0,	-1.0,	52272,	2194.0,	2270.0,	768,	1120.0,	2193.0,	768,	0.0,	2192.0,	89313,	
Conv9,	-173.0,	-1.0,	1728,	-864.0,	-1.0,	8640,	467.0,	498.0,	320,	451.0,	466.0,	320,	0.0,	450.0,	16003,	
Conv10,	-72.0,	-1.0,	720,	-468.0,	-1.0,	4680,	221.0,	262.0,	416,	205.0,	220.0,	416,	0.0,	204.0,	7765,	
Conv11,	-42.0,	-1.0,	416,	-328.0,	-1.0,	3276,	251.0,	256.0,	56,	247.0,	250.0,	56,	0.0,	246.0,	4459,	
Conv12,	-23.0,	-1.0,	224,	-139.0,	-1.0,	1386,	140.0,	144.0,	44,	136.0,	139.0,	44,	0.0,	135.0,	2026,	
Conv13,	-18.0,	-1.0,	176,	-1109.0,	-1.0,	11088,	406.0,	450.0,	448,	130.0,	405.0,	448,	0.0,	410.0,	13083,	
FC1,	-12.0,	-1.0,	112,	-5735.0,	-1.0,	57344,	1824.0,	1875.0,	512,	143.0,	1823.0,	512,	0.0,	1822.0,	60959,	
FC2,	-52.0,	-1.0,	512,	-26215.0,	-1.0,	262144,	8224.0,	8275.0,	512,	543.0,	8223.0,	512,	0.0,	8222.0,	278559,	
FC3,	-52.0,	-1.0,	512,	-512.0,	-1.0,	5120,	522.0,	522.0,	10,	521.0,	521.0,	10,	0.0,	520.0,	6153,	
