IFMAP SRAM Size,	Filter SRAM Size,	OFMAP SRAM Size,	Conv Layer Num,	Max DRAM IFMAP Read BW,	Max DRAM Filter Read BW,	Max DRAM OFMAP Write BW,	Max SRAM Read BW,	Max SRAM OFMAP Write BW,
524288,	524288,	262144,	Conv1,	10,	10,	10,	64,	29,
524288,	524288,	262144,	Conv2,	10,	10,	10,	64,	32,
524288,	524288,	262144,	Conv3,	10,	10,	10,	64,	32,
524288,	524288,	262144,	Conv4,	10,	10,	10,	64,	32,
524288,	524288,	262144,	Conv5,	10,	10,	10,	64,	32,
524288,	524288,	262144,	Conv6,	10,	10,	10,	64,	32,
524288,	524288,	262144,	Conv7,	10,	10,	10,	64,	32,
524288,	524288,	262144,	Conv8,	10,	10,	10,	64,	32,
524288,	524288,	262144,	Conv9,	10,	10,	10,	64,	20,
524288,	524288,	262144,	Conv10,	10,	10,	10,	64,	26,
524288,	524288,	262144,	Conv11,	10,	10,	10,	64,	14,
524288,	524288,	262144,	Conv12,	10,	10,	10,	64,	11,
524288,	524288,	262144,	Conv13,	10,	10,	10,	64,	32,
524288,	524288,	262144,	FC1,	10,	10,	10,	64,	32,
524288,	524288,	262144,	FC2,	10,	10,	10,	64,	32,
524288,	524288,	262144,	FC3,	10,	10,	10,	64,	10,
