IFMAP SRAM Size,	Filter SRAM Size,	OFMAP SRAM Size,	Conv Layer Num,	DRAM IFMAP Read BW,	DRAM Filter Read BW,	DRAM OFMAP Write BW,	SRAM Read BW,	SRAM OFMAP Write BW, 
524288,	524288,	262144,	Conv1,	0.4289955467590302,	0.18369619000494805,	6.966848095002474,	12.936046511627907,	6.966848095002474,
524288,	524288,	262144,	Conv2,	1.4248257624991596,	0.7099477847746678,	1.4686596598166866,	46.14730071935997,	1.4686596598166866,
524288,	524288,	262144,	Conv3,	0.7137792158617604,	2.5378816563973703,	1.1279474028432757,	41.241644005369864,	1.1279474028432757,
524288,	524288,	262144,	Conv4,	0.7560157503281318,	2.688056001166691,	0.5973457780370425,	43.68147513489864,	0.5973457780370425,
524288,	524288,	262144,	Conv5,	0.25906735751295334,	5.9689119170984455,	0.3316062176165803,	24.249332091968913,	0.3316062176165803,
524288,	524288,	262144,	Conv6,	0.2820097601815438,	6.587747997840863,	0.18048624651618803,	26.396455049186468,	0.18048624651618803,
524288,	524288,	262144,	Conv7,	0.28244847521955957,	6.115009488503464,	0.16735072156758904,	25.471545522750343,	0.16735072156758904,
524288,	524288,	262144,	Conv8,	0.19128329297820823,	7.5556900726392255,	0.05667653125280244,	11.621110214330553,	0.05667653125280244,
524288,	524288,	262144,	Conv9,	0.48244274809160304,	7.477862595419848,	0.08413910093299407,	11.58108566581849,	0.08413910093299407,
524288,	524288,	262144,	Conv10,	0.5742217648572163,	6.890661178286597,	0.1975816825315153,	11.77540519680988,	0.1975816825315153,
524288,	524288,	262144,	Conv11,	0.31501230516817064,	6.378999179655455,	0.05906480721903199,	8.152173913043478,	0.05906480721903199,
524288,	524288,	262144,	Conv12,	0.47761194029850745,	6.985074626865671,	0.08623548922056384,	8.349087893864013,	0.08623548922056384,
524288,	524288,	262144,	Conv13,	0.02723404255319149,	7.445106382978723,	0.12726677577741408,	8.670965630114566,	0.12726677577741408,
524288,	524288,	262144,	FC1,	0.014842867177717375,	7.599547994991296,	0.015636930030846288,	8.075466511926214,	0.015636930030846288,
524288,	524288,	262144,	FC2,	0.014844882574659322,	7.600579878225573,	0.014844882574659322,	8.076514931864308,	0.014844882574659322,
524288,	524288,	262144,	FC3,	0.4951644100580271,	4.951644100580271,	0.009671179883945842,	5.950676982591876,	0.009671179883945842,
