Layer,	Cycles,	% Utilization,
Conv1,	2106,	84.00769258101194,
Conv2,	31712,	99.8686378543723,
Conv3,	18463,	99.7743798407626,
Conv4,	36895,	99.88709513484211,
Conv5,	18463,	99.7743798407626,
Conv6,	36895,	99.88709513484211,
Conv7,	36895,	92.48493401883724,
Conv8,	10694,	49.19800238451468,
Conv9,	2874,	47.788135224504,
Conv10,	1132,	36.88522325375774,
Conv11,	868,	7.004667675893887,
Conv12,	353,	9.103017550143267,
Conv13,	3749,	11.848263703654307,
FC1,	7808,	3.106386896375048,
FC2,	8224,	3.1073285297336737,
FC3,	522,	0.9512580974088293,
