Layer,	DRAM_IFMAP_start,	DRAM_IFMAP_stop,	DRAM_IFMAP_bytes,	DRAM_Filter_start,	DRAM_Filter_stop,	DRAM_Filter_bytes,	DRAM_OFMAP_start,	DRAM_OFMAP_stop,	DRAM_OFMAP_bytes,	SRAM_read_start,	SRAM_read_stop,	SRAM_read_bytes,	SRAM_write_start,	SRAM_write_stop,	SRAM_write_bytes,
Conv1,	-347.0,	-1.0,	3468,	-149.0,	-1.0,	1485,	2106.0,	7737.0,	56320,	58.0,	2105.0,	56320,	0.0,	1758.0,	104575,	
Conv2,	-6358.0,	-1.0,	63580,	-3168.0,	-1.0,	31680,	31712.0,	38265.0,	65536,	526.0,	31711.0,	65536,	0.0,	31710.0,	2059231,	
Conv3,	-2074.0,	-1.0,	20736,	-7373.0,	-1.0,	73728,	18402.0,	21678.0,	32768,	607.0,	18401.0,	32768,	0.0,	18462.0,	1198111,	
Conv4,	-4148.0,	-1.0,	41472,	-14746.0,	-1.0,	147456,	36834.0,	40110.0,	32768,	1183.0,	36833.0,	32768,	0.0,	36894.0,	2396191,	
Conv5,	-1280.0,	-1.0,	12800,	-29492.0,	-1.0,	294912,	18278.0,	19916.0,	16384,	1183.0,	18277.0,	16384,	0.0,	18462.0,	1198111,	
Conv6,	-2560.0,	-1.0,	25600,	-52429.0,	24575.0,	598016,	36710.0,	38348.0,	16384,	2335.0,	36709.0,	16384,	0.0,	36894.0,	2396191,	
Conv7,	-2560.0,	-1.0,	25600,	-52429.0,	29951.0,	554240,	36691.0,	38207.0,	15168,	2335.0,	36690.0,	15168,	0.0,	36894.0,	2308639,	
Conv8,	-854.0,	-1.0,	8532,	-33702.0,	-1.0,	337014,	10650.0,	10902.0,	2528,	2164.0,	10649.0,	2528,	0.0,	10693.0,	518348,	
Conv9,	-569.0,	-1.0,	5688,	-8817.0,	-1.0,	88164,	2874.0,	2973.0,	992,	1453.0,	2873.0,	992,	0.0,	2872.0,	136541,	
Conv10,	-224.0,	-1.0,	2232,	-2679.0,	-1.0,	26784,	1132.0,	1208.0,	768,	589.0,	1131.0,	768,	0.0,	1130.0,	45771,	
Conv11,	-77.0,	-1.0,	768,	-1556.0,	-1.0,	15552,	868.0,	882.0,	144,	463.0,	867.0,	144,	0.0,	866.0,	19875,	
Conv12,	-58.0,	-1.0,	576,	-843.0,	-1.0,	8424,	353.0,	363.0,	104,	349.0,	352.0,	104,	0.0,	348.0,	10069,	
Conv13,	-42.0,	-1.0,	416,	-11373.0,	-1.0,	113724,	3708.0,	3902.0,	1944,	265.0,	3707.0,	1944,	0.0,	3748.0,	132449,	
FC1,	-49.0,	-1.0,	486,	-24884.0,	-1.0,	248832,	7808.0,	7859.0,	512,	517.0,	7807.0,	512,	0.0,	7806.0,	264415,	
FC2,	-52.0,	-1.0,	512,	-26215.0,	-1.0,	262144,	8224.0,	8275.0,	512,	543.0,	8223.0,	512,	0.0,	8222.0,	278559,	
FC3,	-52.0,	-1.0,	512,	-512.0,	-1.0,	5120,	522.0,	522.0,	10,	521.0,	521.0,	10,	0.0,	520.0,	6153,	
