Layer name, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides,
DSConv1,  224, 224,    11, 11,    3,      2304,     1,	36,
WA1,	  110, 110,    1,  1,	  2304,	  64,	    1,	36,
DSConv2,  55, 55,    5,  5,     64,     2688,    1,	42,
WA2,	  55, 55,    1,  1,	  2688,	  64,	   1,	42,
DSConv3,  27, 27,      3, 3,      64,     1920,    1,
WA3,	  27, 27,      1, 1,	  1920,	  384,	   1,
DSConv4,  13, 13,      3, 3,      384,    1280,    1,
WA4,	  13, 13,      1, 1,	  1280,	  256,	   1,
DSConv5,  13, 13,      3, 3,      256,    1280,    1,
WA5,	  13, 13,      1, 1,	  1280,	  256,	   1,
FC1,	  1,   1,	     1,	1,	9216,	4096,	1,
FC2,	  1,   1,	     1,	1,	4096,	4096,	1,
FC3,	  1,   1,	     1,	1,	4096,	1000,	1,
