Layer name, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides, bases,
DSConv1,    34,	  34,	  3,	3,    3,      160,    1,     5,
WA1,	    32,	  32,	  1,	1,    160,    32,     1,
WA2,	    32,	  32,	  1,	1,    32,     32,     1,
DSConv3,    34,	  34,	  3,	3,    32,     80,     1,	5,
WA3,	    32,	  32,	  1,	1,    80,     16,     1,
WA4,	    32,	  32,	  1,	1,    16,     96,     1,
DSConv5,    34,	  34,	  3,	3,    96,     120,    1,	5,
WA5,	    32,	  32,	  1,	1,    120,    24,     1,
WA6,	    32,	  32,	  1,	1,    24,     144,    1,
DSConv7,    34,	  34,	  3,	3,    144,    120,    1,	5,
WA7,	    32,	  32,	  1,	1,    120,    24,     1,
WA8,	    32,	  32,	  1,	1,    24,     144,    1,
DSConv9,    34,	  34,	  3,	3,    144,    160,    1,	5,
WA9,	    32,	  32,	  1,	1,    160,    32,     1,
WA10,	    32,	  32,	  1,	1,    32,     192,    1,
DSConv11,   34,	  34,	  3,	3,    192,    160,    1,	5,
WA11,	    32,	  32,	  1,	1,    160,    32,     1,
WA12,	    32,	  32,	  1,	1,    32,     192,    1,
DSConv13,   34,	  34,	  3,	3,    192,    160,    1,	5,
WA13,	    32,	  32,	  1,	1,    160,    32,     1,
WA14,	    32,	  32,	  1,	1,    32,     192,    1,
DSConv15,   34,	  34,	  3,	3,    192,    320,    2,	5,
WA15,	    16,	  16,	  1,	1,    320,    64,     1,
WA16,	    16,	  16,	  1,	1,    64,     384,    1,
DSConv17,   18,	  18,	  3,	3,    384,    320,    1,	5,
WA17,	    16,	  16,	  1,	1,    320,    64,     1,
WA18,	    16,	  16,	  1,	1,    64,     384,    1,
DSConv19,   18,	  18,	  3,	3,    384,    320,    1,	5,
WA19,	    16,	  16,	  1,	1,    320,    64,     1,
WA20,	    16,	  16,	  1,	1,    64,     384,    1,
DSConv21,   18,	  18,	  3,	3,    384,    320,    1,	5,
WA21,	    16,	  16,	  1,	1,    320,    64,     1,
WA22,	    16,	  16,	  1,	1,    64,     384,    1,
DSConv23,   18,	  18,	  3,	3,    384,    480,    1,	5,
WA23,	    16,	  16,	  1,	1,    480,    96,     1,
WA24,	    16,	  16,	  1,	1,    96,     576,    1,
DSConv25,   18,	  18,	  3,	3,    576,    480,    1,	5,
WA25,	    16,	  16,	  1,	1,    480,    96,     1,
WA26,	    16,	  16,	  1,	1,    96,     576,    1,
DSConv27,   18,	  18,	  3,	3,    576,    480,    1,	5,
WA27,	    16,	  16,	  1,	1,    480,    96,     1,
WA28,	    16,	  16,	  1,	1,    96,     576,    1,
DSConv29,   18,	  18,	  3,	3,    576,    800,    2,	5,
WA29,	    8,	  8,	  1,	1,    800,    160,    1,
WA30,	    8,	  8,	  1,	1,    160,    960,    1,
DSConv31,   10,	  10,	  3,	3,    960,    800,    1,	5,
WA31,	    8,	  8,	  1,	1,    800,    160,    1,
WA32,	    8,	  8,	  1,	1,    160,    960,    1,
DSConv33,   10,	  10,	  3,	3,    960,    800,    1,	5,
WA33,	    8,	  8,	  1,	1,    800,    160,    1,
WA34,	    8,	  8,	  1,	1,    160,    960,    1,
DSConv35,   10,	  10,	  3,	3,    960,    1600,   1,	5,
WA35,	    8,	  8,	  1,	1,    1600,   320,    1,
WA36,	    8,	  8,	  1,	1,    320,    1280,   1,
FC1,	    1,	  1,	  1,	1,    1280,   10,     1,
