Layer name, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides,
DSConv1,  224, 224,    7, 7,    3,      15,     1,
WA1,	  244, 244,    1, 1,	15,	64,	 1,
WA2,	  56,  56,    1, 1,	30,	64,	 1,
DSConv3,  56, 56,    3, 3,	64,	47,	 1,
WA3,	  56, 56,    1, 1,	47,	64,	 1,
WA4,	  56, 56,    1, 1,	64,	256,	 1,
WA5,	  56, 56,    1, 1,	64,	256,	 1,
WA6,	  56, 56,    1, 1,	38,	64,	 1,
DSConv7,  56, 56,    3, 3,	64,	126,	 1,
WA7,	  56, 56,    1, 1,	126,	64,	 1,
WA8,	  56, 56,    1, 1,	64,	256,	 1,
WA9,	  56, 56,    1, 1,	52,	64,	 1,
DSConv10, 56, 56,    3, 3,	64,	141,	 1,
WA10,	  56, 56,    1, 1,	141,	64,	 1,
WA11,	  56, 56,    1, 1,	64,	256,	 1,
WA12,	  56, 56,    1, 1,	92,	128,	 1,
DSConv13, 28, 28,    3, 3,	128,	181,	 1,
WA13,	  28, 28,    1, 1,	181,	128,	 1,
WA14,	  28, 28,    1, 1,	128,	512,	 1,
WA15,	  56, 56,    1, 1,	256,	512,	 2,
WA16,	  28,  28,     1, 1,	45,	128,	 1,
DSConv17, 28,  28,     3, 3,	128,	62,	 1,
WA17,	  28,  28,     1, 1,	62,	128,	 1,
WA18,	  28,  28,     1, 1,	128,	512,	 1,
WA19,	  28,  28,     1, 1,	84,	128,	 1,
DSConv20, 28,  28,     3, 3,	128,	156,	 1,
WA20,	  28,  28,     1, 1,	156,	128,	 1,
WA21,	  28,  28,     1, 1,	128,	512,	 1,
WA22,	  28,  28,     1, 1,	108,	128,	 1,
DSConv23, 28,  28,     3, 3,	128,	252,	 1,
WA23,	  28,  28,     1, 1,	252,	128,	 1,
WA24,	  28,  28,     1, 1,	128,	512,	 1,
WA25,	  28,  28,     1, 1,	242,	256,	 1,
DSConv26, 14,  14,     3, 3,	256,	241,	 1,
WA26,	  14,  14,     1, 1,	241,	256,	 1,
WA27,	  14,  14,     1, 1,	256,	1024,	 1,
WA28,	  28,  28,     1, 1,	512,	1024,	 2,
WA29,	  14,  14,     1, 1,	186,	256,	 1,
DSConv30, 14,  14,     3, 3,	256,	311,	 1,
WA30,	  14,  14,     1, 1,	311,	256,	 1,
WA31,	  14,  14,     1, 1,	256,	1024,	 1,
WA32,	  14,  14,     1, 1,	180,	256,	 1,
DSConv33, 14,  14,     3, 3,	256,	256,	 1,
WA33,	  14,  14,     1, 1,	256,	256,	 1,
WA34,	  14,  14,     1, 1,	221,	1024,	 1,
WA35,	  14,  14,     1, 1,	247,	256,	 1,
DSConv36, 14,  14,     3, 3,	256,	373,	 1,
WA36,	  14,  14,     1, 1,	373,	256,	 1,
WA37,	  14,  14,     1, 1,	256,	1024,	 1,
WA38,	  14,  14,     1, 1,	288,	256,	 1,
DSConv39, 14,  14,     3, 3,	256,	411,	 1,
WA39,	  14,  14,     1, 1,	411,	256,	 1,
WA40,	  14,  14,     1, 1,	256,	1024,	 1,
WA41,	  14,  14,     1, 1,	342,	256,	 1,
DSConv42, 14,  14,     3, 3,	256,	493,	 1,
WA42,	  14,  14,     1, 1,	493,	256,	 1,
WA43,	  14,  14,     1, 1,	256,	1024,	 1,
WA44,	  14,  14,     1, 1,	740,	512,	 1,
DSConv45, 7,  7,     3, 3,	512,	495,	 1,
WA45,	  7,  7,     1, 1,	495,	512,	 1,
WA46,	  7,  7,     1, 1,	512,	2048,	 1,
WA47,	  14,  14,     1, 1,	1024,	2048,	 1,
WA48,	  7,   7,      1, 1,	694,	512,	 1,
DSConv49, 7,  7,     3, 3,	512,	634,	 1,
WA49,	  7,  7,     1, 1,	634,	512,	 1,
WA50,	  7,  7,     1,	1,	512,	2048,	 1,
WA51,	  7,  7,     1,	1,	788,	512,	 1,
DSConv52, 7,  7,     3,	3,	512,	511,	 1,
WA52,	  7,  7,     1,	1,	511,	512,	 1,
WA53,	  7,  7,     1,	1,	512,	2048,	 1,
FC1,	1,   1,	     1,	1,	2048,	1000,	1,
