Layer name, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides,
Conv1,  34, 34,    5, 5,    3,      64,     1,
Conv2,	  18, 18,    1, 1,	64,	64,	 1,
Conv3,  18, 18,    3, 3,	64,	64,	 1,
Conv4,	  18, 18,    1, 1,	64,	256,	 1,
Conv5,	  18, 18,    1, 1,	64,	256,	 1,
Conv6,	  18, 18,    1, 1,	256,	64,	 1,
Conv7,  18, 18,    3, 3,	64,	64,	 1,
Conv8,	  18, 18,    1, 1,	64,	256,	 1,
Conv9,	  18, 18,    1, 1,	256,	64,	 1,
Conv10, 18, 18,    3, 3,	64,	64,	 1,
Conv11,	  18, 18,    1, 1,	64,	256,	 1,
Conv12,	  18, 18,    1, 1,	256,	128,	 1,
Conv13, 18, 18,    3, 3,	128,	128,	 1,
Conv14,	  18, 18,    1, 1,	128,	512,	 1,
Conv15,	  18, 18,    1, 1,	256,	512,	 2,
Conv16,	  10,  10,     1, 1,	512,	128,	 1,
Conv17, 10,  10,     3, 3,	128,	128,	 1,
Conv18,	  10,  10,     1, 1,	128,	512,	 1,
Conv19,	  10,  10,     1, 1,	512,	128,	 1,
Conv20, 10,  10,     3, 3,	128,	128,	 1,
Conv21,	  10,  10,     1, 1,	128,	512,	 1,
Conv22,	  10,  10,     1, 1,	512,	128,	 1,
Conv23, 10,  10,     3, 3,	128,	128,	 1,
Conv24,	  10,  10,     1, 1,	128,	512,	 1,
Conv25,	  10,  10,     1, 1,	512,	256,	 1,
Conv26, 10,  10,     3, 3,	256,	256,	 1,
Conv27,	  10,  10,     1, 1,	256,	1024,	 1,
Conv28,	  10,  10,     1, 1,	512,	1024,	 2,
Conv29,	  6,  6,     1, 1,	1024,	256,	 1,
Conv30, 6,  6,     3, 3,	256,	256,	 1,
Conv31,	  6,  6,     1, 1,	256,	1024,	 1,
Conv32,	  6,  6,     1, 1,	1024,	256,	 1,
Conv33, 6,  6,     3, 3,	256,	256,	 1,
Conv34,	  6,  6,     1, 1,	256,	1024,	 1,
Conv35,	  6,  6,     1, 1,	1024,	256,	 1,
Conv36, 6,  6,     3, 3,	256,	256,	 1,
Conv37,	  6,  6,     1, 1,	256,	1024,	 1,
Conv38,	  6,  6,     1, 1,	1024,	256,	 1,
Conv39, 6,  6,     3, 3,	256,	256,	 1,
Conv40,	  6,  6,     1, 1,	256,	1024,	 1,
Conv41,	  6,  6,     1, 1,	1024,	512,	 1,
Conv42, 6,  6,     3, 3,	512,	512,	 1,
Conv43,	  6,  6,     1, 1,	512,	2048,	 1,
Conv44,	  6,  6,     1, 1,	1024,	2048,	 2,
Conv45,	  4,  4,     1, 1,	2048,	512,	 1,
Conv46, 4,  4,     3, 3,	512,	512,	 1,
Conv47,	  4,  4,     1, 1,	512,	2048,	 1,
Conv48,	  4,  4,     1, 1,	2048,	512,	 1,
Conv49, 4,  4,     3, 3,	512,	512,	 1,
Conv50,	  4,  4,     1, 1,	512,	2048,	 1,
FC1,	1,   1,	     1,	1,	2048,	100,	1,
