Layer name, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides,

DSConv1,  34, 34, 3, 3, 3,   13,  1,
WA1,	  32, 32, 1, 1,	13,  16,  1,

DSConv2,  34, 34, 3, 3, 16,  32,  1,
WA2,	  32, 32, 1, 1,	32,  16,  1,
DSConv3,  34, 34, 3, 3, 16,  51,  1,
WA3,	  32, 32, 1, 1,	51,  16,  1,
DSConv4,  34, 34, 3, 3, 16,  38,  1,
WA4,	  32, 32, 1, 1,	38,  16,  1,
DSConv5,  34, 34, 3, 3, 16,  47,  1,
WA5,	  32, 32, 1, 1,	47,  16,  1,
DSConv6,  34, 34, 3, 3, 16,  37,  1,
WA6,	  32, 32, 1, 1,	37,  16,  1,
DSConv7,  34, 34, 3, 3, 16,  49,  1,
WA7,	  32, 32, 1, 1,	49,  16,  1,
DSConv8,  34, 34, 3, 3, 16,  48,  1,
WA8,	  32, 32, 1, 1,	48,  16,  1,
DSConv9,  34, 34, 3, 3, 16,  50,  1,
WA9,	  32, 32, 1, 1,	50,  16,  1,
DSConv10, 34, 34, 3, 3, 16,  47,  1,
WA10,	  32, 32, 1, 1,	47,  16,  1,
DSConv11, 34, 34, 3, 3, 16,  45,  1,
WA11,	  32, 32, 1, 1,	45,  16,  1,
DSConv12, 34, 34, 3, 3, 16,  53,  1,
WA12,	  32, 32, 1, 1,	53,  16,  1,
DSConv13, 34, 34, 3, 3, 16,  50,  1,
WA13,	  32, 32, 1, 1,	50,  16,  1,
DSConv14, 34, 34, 3, 3, 16,  53,  1,
WA14,	  32, 32, 1, 1,	53,  16,  1,
DSConv15, 34, 34, 3, 3, 16,  43,  1,
WA15,	  32, 32, 1, 1,	43,  16,  1,
DSConv16, 34, 34, 3, 3, 16,  59,  1,
WA16,	  32, 32, 1, 1,	59,  16,  1,
DSConv17, 34, 34, 3, 3, 16,  52,  1,
WA17,	  32, 32, 1, 1,	52,  16,  1,
DSConv18, 34, 34, 3, 3, 16,  52,  1,
WA18,	  32, 32, 1, 1,	52,  16,  1,
DSConv19, 34, 34, 3, 3, 16,  48,  1,
WA19,	  32, 32, 1, 1,	48,  16,  1,

DSConv20, 34, 34, 3, 3, 16,  58, 2,
WA20,	  16, 16, 1, 1,	58,  32,  1,
DSConv21, 18, 18, 3, 3, 32,  143, 1,
WA21,	  16, 16, 1, 1,	143, 32,  1,
DSConv22, 18, 18, 3, 3, 32,  83, 1,
WA22,	  16, 16, 1, 1,	83, 32,  1,
DSConv23, 18, 18, 3, 3, 32,  126, 1,
WA23,	  16, 16, 1, 1,	126, 32,  1,
DSConv24, 18, 18, 3, 3, 32,  91, 1,
WA24,	  16, 16, 1, 1,	91, 32,  1,
DSConv25, 18, 18, 3, 3, 32,  135, 1,
WA25,	  16, 16, 1, 1,	135, 32,  1,
DSConv26, 18, 18, 3, 3, 32,  91, 1,
WA26,	  16, 16, 1, 1,	91, 32,  1,
DSConv27, 18, 18, 3, 3, 32,  129, 1,
WA27,	  16, 16, 1, 1,	129, 32,  1,
DSConv28, 18, 18, 3, 3, 32,  93, 1,
WA28,	  16, 16, 1, 1,	93, 32,  1,
DSConv29, 18, 18, 3, 3, 32,  135, 1,
WA29,	  16, 16, 1, 1,	135, 32,  1,
DSConv30, 18, 18, 3, 3, 32,  112, 1,
WA30,	  16, 16, 1, 1,	112, 32,  1,
DSConv31, 18, 18, 3, 3, 32,  130, 1,
WA31,	  16, 16, 1, 1,	130, 32,  1,
DSConv32, 18, 18, 3, 3, 32,  122, 1,
WA32,	  16, 16, 1, 1,	122, 32,  1,
DSConv33, 18, 18, 3, 3, 32,  125, 1,
WA33,	  16, 16, 1, 1,	125, 32,  1,
DSConv34, 18, 18, 3, 3, 32,  138, 1,
WA34,	  16, 16, 1, 1,	1538, 32,  1,
DSConv35, 18, 18, 3, 3, 32,  129, 1,
WA35,	  16, 16, 1, 1,	129, 32,  1,
DSConv36, 18, 18, 3, 3, 32,  138, 1,
WA36,	  16, 16, 1, 1,	138, 32,  1,
DSConv37, 18, 18, 3, 3, 32,  137, 1,
WA37,	  16, 16, 1, 1,	137, 32,  1,

DSConv38, 18, 18, 3, 3, 32,  117, 2,
WA38,	  8,  8,  1, 1,	117, 64,  1,
DSConv39, 10, 10, 3, 3, 64,  319, 1,
WA39,	  8,  8,  1, 1,	319, 64,  1,
DSConv40, 10, 10, 3, 3, 64,  298, 1,
WA40,	  8,  8,  1, 1,	298, 64,  1,
DSConv41, 10, 10, 3, 3, 64,  317, 1,
WA41,	  8,  8,  1, 1,	317, 64,  1,
DSConv42, 10, 10, 3, 3, 64,  307, 1,
WA42,	  8,  8,  1, 1,	307, 64,  1,
DSConv43, 10, 10, 3, 3, 64,  312, 1,
WA43,	  8,  8,  1, 1,	312, 64,  1,
DSConv44, 10, 10, 3, 3, 64,  313, 1,
WA44,	  8,  8,  1, 1,	313, 64,  1,
DSConv45, 10, 10, 3, 3, 64,  310, 1,
WA45,	  8,  8,  1, 1,	310, 64,  1,
DSConv46, 10, 10, 3, 3, 64,  317, 1,
WA46,	  8,  8,  1, 1,	317, 64,  1,
DSConv47, 10, 10, 3, 3, 64,  303, 1,
WA47,	  8,  8,  1, 1,	303, 64,  1,
DSConv48, 10, 10, 3, 3, 64,  317, 1,
WA48,	  8,  8,  1, 1,	317, 64,  1,
DSConv49, 10, 10, 3, 3, 64,  274, 1,
WA49,	  8,  8,  1, 1,	274, 64,  1,
DSConv50, 10, 10, 3, 3, 64,  312, 1,
WA50,	  8,  8,  1, 1,	312, 64,  1,
DSConv51, 10, 10, 3, 3, 64,  233, 1,
WA52,	  8,  8,  1, 1,	233, 64,  1,
