Layer name, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides,
Conv1,  34, 34,    3, 3,    3,      13,     1,
Conv2,  34, 34,    3, 3,    13,      37,     1,
Conv3,  18, 18,    3, 3,      37,     73,     1,
Conv4,  18, 18,     3, 3,      73,    98,    1,
Conv5,  10, 10,     3, 3,      98,    197,    1,
Conv6,  10, 10,     3, 3,      197,    200,    1,
Conv7,	10, 10,     3,	3,	200,	124,	1,
Conv8,	6,  6,     3,	3,	124,	79,	1,
Conv9,	6,  6,     3,	3,	79,	23,	1,
Conv10,	6,  6,     3,	3,	23,	10,	1,
Conv11,	4,   4,	     3,	3,	10,	18,	1,
Conv12, 4,   4,	     3,	3,	18,	12,	1,
Conv13, 4,   4,	     3,	3,	12,	27,	1,
FC1,	1,   1,	     1,	1,	27,	512,	1,
FC2,	1,   1,	     1,	1,	512,	512,	1,
FC3,	1,   1,	     1,	1,	512,	10,	1,
