Layer name, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides,
Conv1,  34, 34,    3, 3,    3,      32,     1,
Conv2,  34, 34,    3, 3,    32,      29,     1,
Conv3,  18, 18,    3, 3,      29,     90,     1,
Conv4,  18, 18,     3, 3,      90,    102,    1,
Conv5,  10, 10,     3, 3,      102,    194,    1,
Conv6,  10, 10,     3, 3,      194,    196,    1,
Conv7,	10, 10,     3,	3,	196,	194,	1,
Conv8,	6,  6,     3,	3,	194,	307,	1,
Conv9,	6,  6,     3,	3,	307,	277,	1,
Conv10,	6,  6,     3,	3,	277,	196,	1,
Conv11,	4,   4,	     3,	3,	196,	125,	1,
Conv12, 4,   4,	     3,	3,	125,	118,	1,
Conv13, 4,   4,	     3,	3,	118,	125,	1,
FC1,	1,   1,	     1,	1,	125,	512,	1,
FC2,	1,   1,	     1,	1,	512,	512,	1,
FC3,	1,   1,	     1,	1,	512,	10,	1,
