Layer name, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides,
DSConv1,  34, 34,    3, 3,    3,      15,     1,
WA1,	  32, 32,    1,	1,    15,    55,     1,
DSConv2,  34, 34,    3, 3,    55,     275,     1,
WA2,	  32, 32,    1,	1,    275,     64,     1,
DSConv3,  18, 18,    3, 3,      64,     320,     1,
WA3,	  16, 16,    1,	1,	320,	128,	 1,
DSConv4,  18, 18,     3, 3,      128,    640,    1,
WA4,	  16, 16,     1, 1,	 640,	 128,	 1,
DSConv5,  10, 10,     3, 3,      128,    640,    1,
WA5,	  8,  8,      1, 1,	 640,	 256,	 1,
DSConv6,  10, 10,     3, 3,      256,    1280,    1,
WA6,	  8,  8,      1, 1,	 1280,	 256,	 1,
DSConv7,	10, 10,     3,	3,	256,	1280,	1,
WA7,		8,  8,	    1,	1,	1280,	237,	1,
DSConv8,	6,  6,     3,	3,	237,	1185,	1,
WA8,		4,  4,	   1,	1,	1185,	158,	1,
DSConv9,	6,  6,     3,	3,	158,	790,	1,
WA9,		4,  4,	   1,	1,	790,	62,	1,
DSConv10,	6,  6,     3,	3,	62,	310,	1,
WA10,		4,  4,	   1,	1,	310,	48,	1,
DSConv11,	4,   4,	     3,	3,	48,	240,	1,
WA11,		2,   2,	     1,	1,	240,	36,	1,
DSConv12, 4,   4,	     3,	3,	36,	180,	1,
WA12,	  2,   2,	     1,	1,	180,	26,	1,
DSConv13, 4,   4,	     3,	3,	26,	130,	1,
WA13,	  2,   2,	     1,	1,	130,	486,	1,
FC1,	1,   1,	     1,	1,	486,	512,	1,
FC2,	1,   1,	     1,	1,	512,	512,	1,
FC3,	1,   1,	     1,	1,	512,	10,	1,
