Layer name, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides,
Conv1,  34, 34,    3, 3,    3,      29,     1,
Conv2,  34, 34,    3, 3,    29,     62,     1,
Conv3,  18, 18,    3, 3,      62,     103,     1,
Conv4,  18, 18,     3, 3,      103,    127,    1,
Conv5,  10, 10,     3, 3,      127,    197,    1,
Conv6,  10, 10,     3, 3,      197,    147,    1,
Conv7,	10, 10,     3,	3,	147,	121,	1,
Conv8,	6,  6,     3,	3,	121,	48,	1,
Conv9,	6,  6,     3,	3,	48,	20,	1,
Conv10,	6,  6,     3,	3,	20,	26,	1,
Conv11,	4,   4,	     3,	3,	26,	14,	1,
Conv12, 4,   4,	     3,	3,	14,	11,	1,
Conv13, 4,   4,	     3,	3,	11,	112,	1,
FC1,	1,   1,	     1,	1,	112,	512,	1,
FC2,	1,   1,	     1,	1,	512,	512,	1,
FC3,	1,   1,	     1,	1,	512,	10,	1,
