Layer name, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides,
DSConv1,  34, 34,    3, 3,    3,      125,     1,
WA1,	  34, 34,    1, 1,	125,	25,	 1,
DSConv2,  34, 34,    3, 3,	25,	315,	 1,
WA2,	  34, 34,    1, 1,	315,	63,	 1,
DSConv3,  18, 18,    3, 3,	63,	610,	 1,
WA3,	  18, 18,    1, 1,	610,	122,	 1,
DSConv4,  18, 18,    3, 3,	122,	640,	 1,
WA4,	  18, 18,    1, 1,	640,	128,	 1,
DSConv5,  10, 10,     3, 3,	128,	1250,	 1,
WA5,	  10, 10,     1, 1,	1250,	250,	 1,
DSConv6,  10, 10,     3, 3,	250,	1095,	 1,
WA6,	  10, 10,     1, 1,	1095,	219,	 1,
DSConv7,  10, 10,     3, 3,	219,	435,	 1,
WA7,	  10, 10,     1, 1,	435,	87,	 1,
DSConv8,  10, 10,     3, 3,	87,	225,	 1,
WA8,	  10, 10,     1, 1,	225,	45,	 1,
DSConv9,  6,  6,     3, 3,	45,	160,	 1,
WA9,	  6,  6,     1, 1,	160,	32,	 1,
DSConv10, 6,  6,     3, 3,	32,	120,	 1,
WA10,	  6,  6,     1, 1,	120,	24,	 1,
DSConv11, 6,  6,     3, 3,	24,	90,	 1,
WA11,	  6,  6,     1, 1,	90,	18,	 1,
DSConv12, 6,  6,     3, 3,	18,	85,	 1,
WA12,	  6,  6,     1, 1,	85,	17,	 1,
DSConv13, 4,  4,     3, 3,	17,	10,	 1,
WA13,	  4,  4,     1, 1,	10,	2,	 1,
DSConv14, 4,  4,     3, 3,	2,	10,	 1,
WA14,	  4,  4,     1, 1,	10,	2,	 1,
DSConv15, 4,  4,     3, 3,	2,	5,	 1,
WA15,	  4,  4,     1, 1,	5,	1,	 1,
DSConv16, 4,  4,     3, 3,	1,	180,	 1,
WA16,	  4,  4,     1, 1,	180,	36,	 1,
FC1,	  1,   1,      1, 1,	36,	512,	 1,
FC2,	  1,   1,      1, 1,	512,	512,	 1,
FC3,	  1,   1,      1, 1,	512,	10,	 1,
