Layer name, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides,
DSConv1,  34, 34,    3, 3,      3,      165,     1,
WA1,	  32, 32,    1,	1,	165	33,	 1,
DSConv2,  34, 34,    3, 3,      33,     320,     1,
WA2,	  32, 32,    1,	1,	320,	64,	 1,
DSConv3,  18, 18,    3, 3,      64,     640,     1,
WA3,	  16, 16,    1,	1,	640,	128,	 1,
DSConv4,  18, 18,    3, 3,	128,    640,    1,
WA4,	  16, 16,    1,	1,	640,	128,	 1,
DSConv5,  10, 10,    3, 3,      128,    1280,    1,
WA5,	  8,  8,     1,	1,	1280,	256,	 1,
DSConv6,  10, 10,    3, 3,      256,    1280,    1,
WA6,	  8,  8,     1,	1,	1280,	256,	 1,
DSConv7,  10, 10,    3,	3,	256,	1280, 	 1,
WA7,	  8,  8,     1,	1,	1280,	256,	 1,
DSConv8,  10, 10,    3,	3,	256,	1280,	1,
WA8,	  8,  8,     1,	1,	1280,	256,	1,
DSConv9,  6,  6,     3,	3,	256,	2555,	1,
WA9,	  4,  4,     1,	1,	2555,	511,	1,
DSConv10, 6,  6,     3,	3,	511,	2560,	1,
WA10,	  4,  4,     1,	1,	2560,	512,	1,
DSConv11, 6,  6,     3,	3,	512,	2540,	1,
WA11,	  4,  4,     1,	1,	2540,	508,	1,
DSConv12, 6,  6,     3,	3,	508,	1335,	1,
WA12,	  4,  4,     1,	1,	1335,	267,	1,
DSConv13, 4,   4,    3,	3,	267,	865,	1,
WA13,	  2,   2,    1,	1,	865,	173,	1,
DSConv14, 4,   4,    3,	3,	173,	810,	1,
WA14,	  2,   2,    1,	1,	810,	162,	1,
DSConv15, 4,   4,    3,	3,	162,	510,	1,
WA15,	  2,   2,    1,	1,	510,	102,	1,
DSConv16, 4,   4,    3,	3,	102,	2545,	1,
WA16,	  2,   2,    1,	1,	2545,	509,	1,
FC1,	1,   1,	     1,	1,	509,	512,	1,
FC2,	1,   1,	     1,	1,	512,	512,	1,
FC3,	1,   1,	     1,	1,	512,	100,	1,
