Layer name, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides,
Conv1,  34, 34,    3, 3,        3,      11,     1,
Conv2,  34, 34,    3, 3,        11,     45,     1,
Conv3,  18, 18,    3, 3,        45,     97,     1,
Conv4,  18, 18,     3, 3,       97,     114,    1,
Conv5,  10, 10,     3, 3,       114,    231,    1,
Conv6,  10, 10,     3, 3,       231,    241,    1,
Conv7,	10, 10,     3,	3,	241,	245,	1,
Conv8,	10, 10,     3,	3,	245,	242,	1,
Conv9,	6,  6,     3,	3,	242,	473,	1,
Conv10,	6,  6,     3,	3,	473,	388,	1,
Conv11,	6,  6,	     3,	3,	388,	146,	1,
Conv12, 6,  6,	     3,	3,	146,	92,	1,
Conv13, 4,   4,	     3,	3,	92,	31,	1,
Conv14,	4,   4,	     3,	3,	31,	39,	1,
Conv15,	4,   4,	     3,	3,	39,	42,	1,
Conv16,	4,   4,	     3,	3,	42,	212,	1,
FC1,	1,   1,	     1,	1,	212,	512,	1,
FC2,	1,   1,	     1,	1,	512,	512,	1,
FC3,	1,   1,	     1,	1,	512,	100,	1,
