Layer name, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides,
DSConv1,  224, 224,    3, 3,      3,      90,      1,
WA1,	  222, 222,    1, 1,	  90,	  18	   1,
DSConv2,  224, 224,    3, 3,	18,	225,	 1,
WA2,	  222, 222,    1, 1,	225,	45,	 1,
DSConv3,  113, 113,    3, 3,	45,	300,	 1,
WA3,	  111, 111,    1, 1,	300,	60,	 1,
DSConv4,  113, 113,    3, 3,	60,	570,	 1,
WA4,	  111, 111,    1, 1,	570,	114,	 1,
DSConv5,  58, 58,     3, 3,	114,	985,	 1,
WA5,	  56, 56,     1, 1,	985,	197,	 1,
DSConv6,  58, 58,     3, 3,	197,	1025,	 1,
WA6,	  56, 56,     1, 1,	1025,	205,	 1,
DSConv7,  58, 58,     3, 3,	205,	1120,	 1,
WA7,	  56, 56,     1, 1,	1120,	224,	 1,
DSConv8,  58, 58,     3, 3,	224,	1100,	 1,
WA8,	  56, 56,     1, 1,	1100,	220,	 1,
DSConv9,  30, 30,     3, 3,	220,	2215,	 1,
WA9,	  28, 28,     1, 1,	2215,	443,	 1,
DSConv10, 30, 30,     3, 3,	443,	2435,	 1,
WA10,	  28, 28,     1, 1,	2435,	487,	 1,
DSConv11, 30, 30,     3, 3,	487,	2530,	 1,
WA11,	  28, 28,     1, 1,	2530,	506,	 1,
DSConv12, 30, 30,     3, 3,	506,	2555,	 1,
WA12,	  28, 28,     1, 1,	2555,	511,	 1,
DSConv13, 16, 16,     3, 3,	511,	2555,	 1,
WA13,	  14, 14,     1, 1,	2555,	511,	 1,
DSConv14, 16, 16,     3, 3,	511,	2555,	 1,
WA14,	  14, 14,     1, 1,	2555,	511,	 1,
DSConv15, 16, 16,     3, 3,	511,	2560,	 1,
WA15,	  14, 14,     1, 1,	2560,	512,	 1,
DSConv16, 16, 16,     3, 3,	512,	2560,	 1,
WA16,	  14, 14,     1, 1,	2560,	512,	 1,
FC1,	  1,   1,      1, 1,	25088,	4096,	 1,
FC2,	  1,   1,      1, 1,	4096,	4096,	 1,
FC3,	  1,   1,      1, 1,	4096,	1000,	 1,
