Layer name, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides,
Conv1,  224, 224,    3, 3,    3,      6,     1,
Conv2,  224, 224,    3, 3,	6,	30,	 1,
Conv3,  113, 113,    3, 3,	30,	49,	 1,
Conv4,  113, 113,    3, 3,	49,	100,	 1,
Conv5,  58, 58,     3, 3,	100,	169,	 1,
Conv6,  58, 58,     3, 3,	169,	189,	 1,
Conv7,  58, 58,     3, 3,	189,	205,	 1,
Conv8,  58, 58,     3, 3,	205,	210,	 1,
Conv9,  30, 30,     3, 3,	210,	400,	 1,
Conv10, 30, 30,     3, 3,	400,	455,	 1,
Conv11, 30, 30,     3, 3,	455,	480,	 1,
Conv12, 30, 30,     3, 3,	480,	490,	 1,
Conv13, 16, 16,     3, 3,	490,	492,	 1,
Conv14, 16, 16,     3, 3,	492,	492,	 1,
Conv15, 16, 16,     3, 3,	492,	492,	 1,
Conv16, 16, 16,     3, 3,	492,	492,	 1,
FC1,	  1,   1,      1, 1,	24108,	4096,	 1,
FC2,	  1,   1,      1, 1,	4096,	4096,	 1,
FC3,	  1,   1,      1, 1,	4096,	1000,	 1,
