Layer name, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides,
Conv1,  224, 224,    3, 3,    3,      64,     1,
Conv2,  224, 224,    3, 3,	64,	64,	 1,
Conv3,  113, 113,    3, 3,	64,	128,	 1,
Conv4,  113, 113,    3, 3,	128,	128,	 1,
Conv5,  58, 58,     3, 3,	128,	256,	 1,
Conv6,  58, 58,     3, 3,	256,	256,	 1,
Conv7,  58, 58,     3, 3,	256,	256,	 1,
Conv8,  58, 58,     3, 3,	256,	256,	 1,
Conv9,  30, 30,     3, 3,	256,	512,	 1,
Conv10, 30, 30,     3, 3,	512,	512,	 1,
Conv11, 30, 30,     3, 3,	512,	512,	 1,
Conv12, 30, 30,     3, 3,	512,	512,	 1,
Conv13, 16, 16,     3, 3,	512,	512,	 1,
Conv14, 16, 16,     3, 3,	512,	512,	 1,
Conv15, 16, 16,     3, 3,	512,	512,	 1,
Conv16, 16, 16,     3, 3,	512,	512,	 1,
FC1,	  1,   1,      1, 1,	25088,	4096,	 1,
FC2,	  1,   1,      1, 1,	4096,	4096,	 1,
FC3,	  1,   1,      1, 1,	4096,	1000,	 1,
